trial_id,n_past,accuracy,precision,recall,fpr,balanced_accuracy,f1
0,1,0.9778,1.0,0.8491,0.0,0.9245,0.9184
0,2,0.9778,1.0,0.8491,0.0,0.9245,0.9184
0,3,0.9778,1.0,0.8491,0.0,0.9245,0.9184
0,4,0.9778,1.0,0.8491,0.0,0.9245,0.9184
0,5,0.9778,1.0,0.8491,0.0,0.9245,0.9184
0,6,0.9778,1.0,0.8491,0.0,0.9245,0.9184
0,7,0.9778,1.0,0.8491,0.0,0.9245,0.9184
1,1,0.9911,1.0,0.9348,0.0,0.9674,0.9663
1,2,0.9896,0.9885,0.9348,0.0017,0.9665,0.9609
1,3,0.9896,1.0,0.9239,0.0,0.962,0.9605
1,4,0.9911,1.0,0.9348,0.0,0.9674,0.9663
1,5,0.9926,0.9888,0.9565,0.0017,0.9774,0.9724
1,6,0.9941,1.0,0.9565,0.0,0.9783,0.9778
1,7,0.9941,1.0,0.9565,0.0,0.9783,0.9778
2,1,0.9926,1.0,0.939,0.0,0.9695,0.9686
2,2,0.9926,1.0,0.939,0.0,0.9695,0.9686
2,3,0.9911,1.0,0.9268,0.0,0.9634,0.962
2,4,0.9926,1.0,0.939,0.0,0.9695,0.9686
2,5,0.9926,1.0,0.939,0.0,0.9695,0.9686
2,6,0.9911,0.9872,0.939,0.0017,0.9687,0.9625
2,7,0.9896,1.0,0.9146,0.0,0.9573,0.9554
3,1,0.9909,0.9474,0.9818,0.0078,0.987,0.9643
3,2,0.9977,0.9821,1.0,0.0026,0.9987,0.991
3,3,1.0,1.0,1.0,0.0,1.0,1.0
3,4,0.9977,0.9821,1.0,0.0026,0.9987,0.991
3,5,0.9977,0.9821,1.0,0.0026,0.9987,0.991
3,6,1.0,1.0,1.0,0.0,1.0,1.0
3,7,1.0,1.0,1.0,0.0,1.0,1.0
4,1,0.9864,1.0,0.8667,0.0,0.9333,0.9286
4,2,0.9887,1.0,0.8889,0.0,0.9444,0.9412
4,3,0.9887,1.0,0.8889,0.0,0.9444,0.9412
4,4,0.9864,0.9756,0.8889,0.0025,0.9432,0.9302
4,5,0.9864,1.0,0.8667,0.0,0.9333,0.9286
4,6,0.9864,0.9756,0.8889,0.0025,0.9432,0.9302
4,7,0.9864,0.9756,0.8889,0.0025,0.9432,0.9302
5,1,0.9945,1.0,0.9592,0.0,0.9796,0.9792
5,2,0.9945,1.0,0.9592,0.0,0.9796,0.9792
5,3,0.9917,1.0,0.9388,0.0,0.9694,0.9684
5,4,0.9917,0.9792,0.9592,0.0032,0.978,0.9691
5,5,0.9917,0.9792,0.9592,0.0032,0.978,0.9691
5,6,0.9945,1.0,0.9592,0.0,0.9796,0.9792
5,7,0.9889,0.9787,0.9388,0.0032,0.9678,0.9583
6,1,0.9872,0.9821,0.8871,0.0018,0.9427,0.9322
6,2,0.9872,0.9821,0.8871,0.0018,0.9427,0.9322
6,3,0.9856,0.9649,0.8871,0.0036,0.9418,0.9244
6,4,0.9856,0.9649,0.8871,0.0036,0.9418,0.9244
6,5,0.9872,0.9821,0.8871,0.0018,0.9427,0.9322
6,6,0.9872,0.9821,0.8871,0.0018,0.9427,0.9322
6,7,0.9872,0.9821,0.8871,0.0018,0.9427,0.9322
7,1,0.99,1.0,0.9149,0.0,0.9574,0.9556
7,2,0.9875,1.0,0.8936,0.0,0.9468,0.9438
7,3,0.99,1.0,0.9149,0.0,0.9574,0.9556
7,4,0.99,1.0,0.9149,0.0,0.9574,0.9556
7,5,0.985,1.0,0.8723,0.0,0.9362,0.9318
7,6,0.9875,1.0,0.8936,0.0,0.9468,0.9438
7,7,0.9875,1.0,0.8936,0.0,0.9468,0.9438
8,1,0.9948,1.0,0.9552,0.0,0.9776,0.9771
8,2,0.9948,1.0,0.9552,0.0,0.9776,0.9771
8,3,0.9948,1.0,0.9552,0.0,0.9776,0.9771
8,4,0.9948,1.0,0.9552,0.0,0.9776,0.9771
8,5,0.9931,1.0,0.9403,0.0,0.9701,0.9692
8,6,0.9931,0.9846,0.9552,0.002,0.9766,0.9697
8,7,0.9948,1.0,0.9552,0.0,0.9776,0.9771
9,1,0.9819,1.0,0.8596,0.0,0.9298,0.9245
9,2,0.9819,1.0,0.8596,0.0,0.9298,0.9245
9,3,0.9841,1.0,0.8772,0.0,0.9386,0.9346
9,4,0.9841,1.0,0.8772,0.0,0.9386,0.9346
9,5,0.9841,1.0,0.8772,0.0,0.9386,0.9346
9,6,0.9841,1.0,0.8772,0.0,0.9386,0.9346
9,7,0.9841,1.0,0.8772,0.0,0.9386,0.9346
