trial_id,n_past,accuracy,precision,recall,fpr,balanced_accuracy,f1
0,2,0.9955,0.9688,1.0,0.0053,0.9974,0.9841
0,3,0.9932,0.9538,1.0,0.0079,0.996,0.9764
0,4,0.9909,0.9394,1.0,0.0106,0.9947,0.9688
0,5,0.9909,0.9394,1.0,0.0106,0.9947,0.9688
0,6,0.9955,0.9688,1.0,0.0053,0.9974,0.9841
0,7,0.9932,0.9538,1.0,0.0079,0.996,0.9764
1,2,0.9864,0.9773,0.8958,0.0025,0.9466,0.9348
1,3,0.9841,0.9556,0.8958,0.0051,0.9454,0.9247
1,4,0.9864,0.9773,0.8958,0.0025,0.9466,0.9348
1,5,0.9841,0.9556,0.8958,0.0051,0.9454,0.9247
1,6,0.9841,0.9556,0.8958,0.0051,0.9454,0.9247
1,7,0.9864,0.9773,0.8958,0.0025,0.9466,0.9348
2,2,0.9637,1.0,0.6981,0.0,0.8491,0.8222
2,3,0.966,1.0,0.717,0.0,0.8585,0.8352
2,4,0.966,1.0,0.717,0.0,0.8585,0.8352
2,5,0.966,1.0,0.717,0.0,0.8585,0.8352
2,6,0.966,1.0,0.717,0.0,0.8585,0.8352
2,7,0.966,1.0,0.717,0.0,0.8585,0.8352
3,2,0.9877,0.9773,0.9348,0.0036,0.9656,0.9556
3,3,0.9907,1.0,0.9348,0.0,0.9674,0.9663
3,4,0.9907,1.0,0.9348,0.0,0.9674,0.9663
3,5,0.9877,0.9773,0.9348,0.0036,0.9656,0.9556
3,6,0.9846,0.9556,0.9348,0.0072,0.9638,0.9451
3,7,0.9815,0.9545,0.913,0.0072,0.9529,0.9333
4,2,0.9861,0.9592,0.94,0.0064,0.9668,0.9495
4,3,0.9834,0.9583,0.92,0.0064,0.9568,0.9388
4,4,0.9861,0.9592,0.94,0.0064,0.9668,0.9495
4,5,0.9834,0.9583,0.92,0.0064,0.9568,0.9388
4,6,0.9861,0.9592,0.94,0.0064,0.9668,0.9495
4,7,0.9861,0.9787,0.92,0.0032,0.9584,0.9485
5,2,0.967,0.9623,0.75,0.0039,0.873,0.843
5,3,0.967,0.9623,0.75,0.0039,0.873,0.843
5,4,0.9688,0.9808,0.75,0.002,0.874,0.85
5,5,0.9688,0.9808,0.75,0.002,0.874,0.85
5,6,0.9688,0.9808,0.75,0.002,0.874,0.85
5,7,0.967,0.9623,0.75,0.0039,0.873,0.843
6,2,0.9897,0.974,0.9615,0.0049,0.9783,0.9677
6,3,0.9938,0.9747,0.9872,0.0049,0.9911,0.9809
6,4,0.9959,0.9872,0.9872,0.0025,0.9924,0.9872
6,5,0.9876,0.939,0.9872,0.0123,0.9874,0.9625
6,6,0.9897,0.9506,0.9872,0.0099,0.9887,0.9686
6,7,0.9897,0.9506,0.9872,0.0099,0.9887,0.9686
7,2,0.995,0.9818,0.9818,0.0029,0.9895,0.9818
7,3,0.99,0.9636,0.9636,0.0058,0.9789,0.9636
7,4,0.995,0.9818,0.9818,0.0029,0.9895,0.9818
7,5,0.995,0.9818,0.9818,0.0029,0.9895,0.9818
7,6,0.9925,0.9815,0.9636,0.0029,0.9804,0.9725
7,7,0.995,0.9818,0.9818,0.0029,0.9895,0.9818
8,2,0.9926,1.0,0.9324,0.0,0.9662,0.965
8,3,0.9896,0.9718,0.9324,0.0033,0.9646,0.9517
8,4,0.9896,0.9855,0.9189,0.0017,0.9586,0.951
8,5,0.9911,0.9857,0.9324,0.0017,0.9654,0.9583
8,6,0.9926,1.0,0.9324,0.0,0.9662,0.965
8,7,0.9911,0.9857,0.9324,0.0017,0.9654,0.9583
9,2,0.9889,0.9423,0.98,0.0096,0.9852,0.9608
9,3,0.9972,0.9804,1.0,0.0032,0.9984,0.9901
9,4,0.9972,0.9804,1.0,0.0032,0.9984,0.9901
9,5,0.9972,0.9804,1.0,0.0032,0.9984,0.9901
9,6,1.0,1.0,1.0,0.0,1.0,1.0
9,7,1.0,1.0,1.0,0.0,1.0,1.0
