trial_id,n_past,accuracy,precision,recall,fpr,balanced_accuracy,f1
0,2,0.9625,0.8,0.9167,0.0312,0.9427,0.8544
0,3,0.985,1.0,0.875,0.0,0.9375,0.9333
0,4,0.99,1.0,0.9167,0.0,0.9583,0.9565
0,5,0.99,1.0,0.9167,0.0,0.9583,0.9565
0,6,0.9875,1.0,0.8958,0.0,0.9479,0.9451
0,7,0.9875,1.0,0.8958,0.0,0.9479,0.9451
1,2,0.9679,0.8676,0.8806,0.0195,0.9306,0.8741
1,3,0.9868,0.9545,0.9403,0.0065,0.9669,0.9474
1,4,0.9868,0.9688,0.9254,0.0043,0.9605,0.9466
1,5,0.9849,0.9683,0.9104,0.0043,0.9531,0.9385
1,6,0.983,0.9531,0.9104,0.0065,0.952,0.9313
1,7,0.9868,0.9688,0.9254,0.0043,0.9605,0.9466
2,2,0.9628,0.7959,0.8298,0.0229,0.9035,0.8125
2,3,0.9855,1.0,0.8511,0.0,0.9255,0.9195
2,4,0.9855,0.9762,0.8723,0.0023,0.935,0.9213
2,5,0.9876,1.0,0.8723,0.0,0.9362,0.9318
2,6,0.9876,1.0,0.8723,0.0,0.9362,0.9318
2,7,0.9876,1.0,0.8723,0.0,0.9362,0.9318
3,2,0.9751,0.9318,0.8723,0.0096,0.9314,0.9011
3,3,0.9834,0.9767,0.8936,0.0032,0.9452,0.9333
3,4,0.9806,0.9762,0.8723,0.0032,0.9346,0.9213
3,5,0.9806,0.9762,0.8723,0.0032,0.9346,0.9213
3,6,0.9778,0.9756,0.8511,0.0032,0.9239,0.9091
3,7,0.9806,0.9762,0.8723,0.0032,0.9346,0.9213
4,2,0.9444,0.7045,0.8611,0.0451,0.908,0.775
4,3,0.9846,1.0,0.8611,0.0,0.9306,0.9254
4,4,0.9877,1.0,0.8889,0.0,0.9444,0.9412
4,5,0.9877,1.0,0.8889,0.0,0.9444,0.9412
4,6,0.9846,0.9697,0.8889,0.0035,0.9427,0.9275
4,7,0.9846,0.9697,0.8889,0.0035,0.9427,0.9275
5,2,0.9607,0.8548,0.8413,0.0214,0.9099,0.848
5,3,0.9773,0.9643,0.8571,0.0048,0.9262,0.9076
5,4,0.9752,0.9474,0.8571,0.0071,0.925,0.9
5,5,0.9773,0.9643,0.8571,0.0048,0.9262,0.9076
5,6,0.9793,0.9818,0.8571,0.0024,0.9274,0.9153
5,7,0.9793,0.9818,0.8571,0.0024,0.9274,0.9153
6,2,0.9695,0.8824,0.8108,0.0123,0.8992,0.8451
6,3,0.9806,1.0,0.8108,0.0,0.9054,0.8955
6,4,0.9806,1.0,0.8108,0.0,0.9054,0.8955
6,5,0.9806,1.0,0.8108,0.0,0.9054,0.8955
6,6,0.9806,1.0,0.8108,0.0,0.9054,0.8955
6,7,0.9806,1.0,0.8108,0.0,0.9054,0.8955
7,2,0.97,0.8367,0.9111,0.0225,0.9443,0.8723
7,3,0.9925,1.0,0.9333,0.0,0.9667,0.9655
7,4,0.99,0.9767,0.9333,0.0028,0.9653,0.9545
7,5,0.99,1.0,0.9111,0.0,0.9556,0.9535
7,6,0.9875,0.9545,0.9333,0.0056,0.9638,0.9438
7,7,0.9925,1.0,0.9333,0.0,0.9667,0.9655
8,2,0.9688,0.8875,0.8875,0.0181,0.9347,0.8875
8,3,0.9844,0.961,0.925,0.006,0.9595,0.9427
8,4,0.9826,0.9487,0.925,0.0081,0.9585,0.9367
8,5,0.9878,0.962,0.95,0.006,0.972,0.956
8,6,0.9931,1.0,0.95,0.0,0.975,0.9744
8,7,0.9844,0.9494,0.9375,0.0081,0.9647,0.9434
9,2,0.9778,0.8727,0.9796,0.0224,0.9786,0.9231
9,3,0.9972,1.0,0.9796,0.0,0.9898,0.9897
9,4,0.9917,0.9792,0.9592,0.0032,0.978,0.9691
9,5,0.9945,0.9796,0.9796,0.0032,0.9882,0.9796
9,6,0.9972,1.0,0.9796,0.0,0.9898,0.9897
9,7,0.9945,0.9796,0.9796,0.0032,0.9882,0.9796
