trial_id,n_past,accuracy,precision,recall,fpr,balanced_accuracy,f1
0,1,0.9752,0.8714,0.9531,0.0214,0.9658,0.9104
0,2,0.9897,0.9403,0.9844,0.0095,0.9874,0.9618
0,3,0.9917,0.9545,0.9844,0.0071,0.9886,0.9692
0,4,0.9959,0.9844,0.9844,0.0024,0.991,0.9844
0,5,0.9938,0.9692,0.9844,0.0048,0.9898,0.9767
0,6,0.9959,0.9844,0.9844,0.0024,0.991,0.9844
0,7,0.9979,1.0,0.9844,0.0,0.9922,0.9921
1,1,0.9773,0.9268,0.8261,0.0068,0.9096,0.8736
1,2,0.9814,0.9744,0.8261,0.0023,0.9119,0.8941
1,3,0.9835,1.0,0.8261,0.0,0.913,0.9048
1,4,0.9835,1.0,0.8261,0.0,0.913,0.9048
1,5,0.9835,1.0,0.8261,0.0,0.913,0.9048
1,6,0.9855,1.0,0.8478,0.0,0.9239,0.9176
1,7,0.9835,1.0,0.8261,0.0,0.913,0.9048
2,1,0.9705,0.8333,0.9184,0.023,0.9477,0.8738
2,2,0.9864,0.9574,0.9184,0.0051,0.9566,0.9375
2,3,0.9887,0.9783,0.9184,0.0026,0.9579,0.9474
2,4,0.9909,1.0,0.9184,0.0,0.9592,0.9574
2,5,0.9841,0.9565,0.898,0.0051,0.9464,0.9263
2,6,0.9864,0.9574,0.9184,0.0051,0.9566,0.9375
2,7,0.9887,0.9783,0.9184,0.0026,0.9579,0.9474
3,1,0.969,0.8333,0.9524,0.0285,0.9619,0.8889
3,2,0.9917,0.9836,0.9524,0.0024,0.975,0.9677
3,3,0.9917,0.9836,0.9524,0.0024,0.975,0.9677
3,4,0.9917,0.9836,0.9524,0.0024,0.975,0.9677
3,5,0.9897,0.9677,0.9524,0.0048,0.9738,0.96
3,6,0.9897,0.9677,0.9524,0.0048,0.9738,0.96
3,7,0.9876,0.9524,0.9524,0.0071,0.9726,0.9524
4,1,0.965,0.75,1.0,0.0391,0.9804,0.8571
4,2,0.985,0.8913,0.9762,0.014,0.9811,0.9318
4,3,0.995,0.9545,1.0,0.0056,0.9972,0.9767
4,4,0.995,0.9545,1.0,0.0056,0.9972,0.9767
4,5,0.995,0.9762,0.9762,0.0028,0.9867,0.9762
4,6,1.0,1.0,1.0,0.0,1.0,1.0
4,7,0.995,0.9762,0.9762,0.0028,0.9867,0.9762
5,1,0.9375,0.8043,0.6981,0.0259,0.8361,0.7475
5,2,0.96,0.9744,0.717,0.0029,0.857,0.8261
5,3,0.96,0.9744,0.717,0.0029,0.857,0.8261
5,4,0.9625,1.0,0.717,0.0,0.8585,0.8352
5,5,0.9625,1.0,0.717,0.0,0.8585,0.8352
5,6,0.9625,1.0,0.717,0.0,0.8585,0.8352
5,7,0.96,0.9744,0.717,0.0029,0.857,0.8261
6,1,0.9546,0.75,0.9545,0.0454,0.9546,0.84
6,2,0.9943,0.9701,0.9848,0.0043,0.9903,0.9774
6,3,0.9962,0.9848,0.9848,0.0022,0.9913,0.9848
6,4,0.9962,0.9848,0.9848,0.0022,0.9913,0.9848
6,5,0.9943,0.9846,0.9697,0.0022,0.9838,0.9771
6,6,0.9962,0.9848,0.9848,0.0022,0.9913,0.9848
6,7,0.9943,0.9846,0.9697,0.0022,0.9838,0.9771
7,1,0.9754,0.8718,0.9577,0.0218,0.968,0.9128
7,2,0.983,0.9306,0.9437,0.0109,0.9664,0.9371
7,3,0.9905,0.9583,0.9718,0.0066,0.9826,0.965
7,4,0.9943,1.0,0.9577,0.0,0.9789,0.9784
7,5,0.9924,0.9855,0.9577,0.0022,0.9778,0.9714
7,6,0.9943,1.0,0.9577,0.0,0.9789,0.9784
7,7,0.9962,1.0,0.9718,0.0,0.9859,0.9857
8,1,0.9705,1.0,0.7869,0.0,0.8934,0.8807
8,2,0.9728,1.0,0.8033,0.0,0.9016,0.8909
8,3,0.9728,1.0,0.8033,0.0,0.9016,0.8909
8,4,0.9705,1.0,0.7869,0.0,0.8934,0.8807
8,5,0.9728,1.0,0.8033,0.0,0.9016,0.8909
8,6,0.966,0.96,0.7869,0.0053,0.8908,0.8649
8,7,0.9728,1.0,0.8033,0.0,0.9016,0.8909
9,1,0.9625,0.7321,1.0,0.0418,0.9791,0.8454
9,2,0.9925,0.9318,1.0,0.0084,0.9958,0.9647
9,3,0.995,0.9535,1.0,0.0056,0.9972,0.9762
9,4,0.9975,0.9762,1.0,0.0028,0.9986,0.988
9,5,1.0,1.0,1.0,0.0,1.0,1.0
9,6,1.0,1.0,1.0,0.0,1.0,1.0
9,7,1.0,1.0,1.0,0.0,1.0,1.0
