control_type,repeat,T_obs,edge_counts_min,edge_counts_max,edge_counts_mean,D_p_mean,D_p_max,D_p_at_first_depth
biological_baseline,-1,0.02,26,85,39.42857142857143,0.007142857142857143,0.02,0.02
synthetic_null_order1,0,0.03333333333333333,7,10,9.0,0.012962962962962963,0.03333333333333333,0.03333333333333333
synthetic_null_order1,1,0.022222222222222223,2,3,2.5714285714285716,0.011111111111111112,0.022222222222222223,0.011111111111111112
synthetic_null_order1,2,0.011111111111111112,6,7,6.142857142857143,0.003703703703703704,0.011111111111111112,0.011111111111111112
synthetic_null_order1,3,0.044444444444444446,5,7,5.571428571428571,0.02407407407407407,0.044444444444444446,0.03333333333333333
synthetic_null_order1,4,0.0,6,6,6.0,0.0,0.0,0.0
synthetic_null_order1,5,0.011111111111111112,6,8,7.142857142857143,0.011111111111111112,0.011111111111111112,0.011111111111111112
synthetic_null_order1,6,0.011111111111111112,4,5,4.714285714285714,0.001851851851851852,0.011111111111111112,0.0
synthetic_null_order1,7,0.011111111111111112,7,9,7.857142857142857,0.007407407407407408,0.011111111111111112,0.011111111111111112
synthetic_null_order1,8,0.011111111111111112,8,9,8.714285714285714,0.003703703703703704,0.011111111111111112,0.0
synthetic_null_order1,9,0.0,5,5,5.0,0.0,0.0,0.0
synthetic_null_order3,0,0.03333333333333333,7,10,9.0,0.012962962962962963,0.03333333333333333,0.03333333333333333
synthetic_null_order3,1,0.022222222222222223,2,3,2.5714285714285716,0.011111111111111112,0.022222222222222223,0.011111111111111112
synthetic_null_order3,2,0.0,6,6,6.0,0.0,0.0,0.0
synthetic_null_order3,3,0.044444444444444446,4,7,5.714285714285714,0.027777777777777776,0.044444444444444446,0.044444444444444446
synthetic_null_order3,4,0.0,6,6,6.0,0.0,0.0,0.0
synthetic_null_order3,5,0.022222222222222223,6,8,6.857142857142857,0.016666666666666666,0.022222222222222223,0.022222222222222223
synthetic_null_order3,6,0.011111111111111112,4,5,4.714285714285714,0.001851851851851852,0.011111111111111112,0.0
synthetic_null_order3,7,0.011111111111111112,7,9,8.0,0.003703703703703704,0.011111111111111112,0.011111111111111112
synthetic_null_order3,8,0.011111111111111112,8,9,8.714285714285714,0.003703703703703704,0.011111111111111112,0.0
synthetic_null_order3,9,0.0,5,5,5.0,0.0,0.0,0.0
synthetic_latent_confounder,0,0.022222222222222223,14,16,15.142857142857142,0.00925925925925926,0.022222222222222223,0.022222222222222223
synthetic_latent_confounder,1,0.03333333333333333,5,8,6.0,0.025925925925925925,0.03333333333333333,0.011111111111111112
synthetic_latent_confounder,2,0.011111111111111112,7,8,7.142857142857143,0.001851851851851852,0.011111111111111112,0.011111111111111112
synthetic_latent_confounder,3,0.022222222222222223,16,18,17.428571428571427,0.012962962962962963,0.022222222222222223,0.022222222222222223
synthetic_latent_confounder,4,0.044444444444444446,6,10,7.0,0.012962962962962963,0.044444444444444446,0.044444444444444446
synthetic_latent_confounder,5,0.044444444444444446,15,17,16.428571428571427,0.012962962962962963,0.044444444444444446,0.044444444444444446
synthetic_latent_confounder,6,0.022222222222222223,7,9,7.714285714285714,0.011111111111111112,0.022222222222222223,0.022222222222222223
synthetic_latent_confounder,7,0.03333333333333333,12,15,13.285714285714286,0.022222222222222223,0.03333333333333333,0.03333333333333333
synthetic_latent_confounder,8,0.06666666666666667,15,19,16.142857142857142,0.022222222222222223,0.06666666666666667,0.06666666666666667
synthetic_latent_confounder,9,0.03333333333333333,6,8,6.714285714285714,0.012962962962962963,0.03333333333333333,0.011111111111111112
synthetic_hidden_nodes,0,0.0,5,5,5.0,0.0,0.0,0.0
synthetic_hidden_nodes,1,0.011111111111111112,8,9,8.857142857142858,0.001851851851851852,0.011111111111111112,0.011111111111111112
synthetic_hidden_nodes,2,0.0,4,4,4.0,0.0,0.0,0.0
synthetic_hidden_nodes,3,0.022222222222222223,6,8,6.285714285714286,0.003703703703703704,0.022222222222222223,0.022222222222222223
synthetic_hidden_nodes,4,0.03333333333333333,12,15,12.428571428571429,0.005555555555555556,0.03333333333333333,0.03333333333333333
synthetic_hidden_nodes,5,0.022222222222222223,7,7,7.0,0.003703703703703704,0.022222222222222223,0.022222222222222223
synthetic_hidden_nodes,6,0.03333333333333333,12,15,12.428571428571429,0.005555555555555556,0.03333333333333333,0.03333333333333333
synthetic_hidden_nodes,7,0.011111111111111112,13,14,13.142857142857142,0.001851851851851852,0.011111111111111112,0.011111111111111112
synthetic_hidden_nodes,8,0.05555555555555555,15,20,17.714285714285715,0.02962962962962963,0.05555555555555555,0.05555555555555555
synthetic_hidden_nodes,9,0.1111111111111111,18,20,19.0,0.02592592592592592,0.1111111111111111,0.1111111111111111
real_time_shuffled,-1,0.00040816326530612246,0,2,1.0,0.0002040816326530612,0.00040816326530612246,0.0
real_block_shuffled,-1,0.019591836734693877,31,89,42.57142857142857,0.006462585034013607,0.019591836734693877,0.019591836734693877
real_phase_randomized,-1,0.004489795918367347,0,14,3.142857142857143,0.0009523809523809523,0.004489795918367347,0.004489795918367347
real_circularly_shifted,-1,0.0020408163265306124,17,27,20.714285714285715,0.001360544217687075,0.0020408163265306124,0.0012244897959183673
