trial_id,n_past,accuracy,precision,recall,fpr,balanced_accuracy,f1
0,1,0.9705,0.8387,0.975,0.0302,0.9724,0.9017
0,2,0.9983,0.9877,1.0,0.002,0.999,0.9938
0,3,0.9983,0.9877,1.0,0.002,0.999,0.9938
0,4,0.9948,0.9753,0.9875,0.004,0.9917,0.9814
0,5,0.9983,0.9877,1.0,0.002,0.999,0.9938
0,6,0.9965,0.9756,1.0,0.004,0.998,0.9877
0,7,0.9983,0.9877,1.0,0.002,0.999,0.9938
1,1,0.9793,0.8791,0.9639,0.0185,0.9727,0.9195
1,2,0.9941,0.9877,0.9639,0.0017,0.9811,0.9756
1,3,0.9941,0.9759,0.9759,0.0034,0.9863,0.9759
1,4,0.9926,0.9875,0.9518,0.0017,0.9751,0.9693
1,5,0.9956,1.0,0.9639,0.0,0.9819,0.9816
1,6,0.9941,0.9877,0.9639,0.0017,0.9811,0.9756
1,7,0.9926,0.9875,0.9518,0.0017,0.9751,0.9693
2,1,0.9504,0.8571,0.7105,0.0164,0.8471,0.777
2,2,0.9648,1.0,0.7105,0.0,0.8553,0.8308
2,3,0.9632,1.0,0.6974,0.0,0.8487,0.8217
2,4,0.9632,1.0,0.6974,0.0,0.8487,0.8217
2,5,0.9632,1.0,0.6974,0.0,0.8487,0.8217
2,6,0.9632,1.0,0.6974,0.0,0.8487,0.8217
2,7,0.9648,1.0,0.7105,0.0,0.8553,0.8308
3,1,0.96,0.84,0.84,0.0229,0.9086,0.84
3,2,0.9775,1.0,0.82,0.0,0.91,0.9011
3,3,0.98,1.0,0.84,0.0,0.92,0.913
3,4,0.98,1.0,0.84,0.0,0.92,0.913
3,5,0.98,1.0,0.84,0.0,0.92,0.913
3,6,0.975,1.0,0.8,0.0,0.9,0.8889
3,7,0.975,1.0,0.8,0.0,0.9,0.8889
4,1,0.966,0.8,0.9123,0.0275,0.9424,0.8525
4,2,0.9887,0.9811,0.9123,0.0021,0.9551,0.9455
4,3,0.9868,0.9808,0.8947,0.0021,0.9463,0.9358
4,4,0.9887,0.9811,0.9123,0.0021,0.9551,0.9455
4,5,0.9887,0.9811,0.9123,0.0021,0.9551,0.9455
4,6,0.9868,0.9808,0.8947,0.0021,0.9463,0.9358
4,7,0.9868,0.9808,0.8947,0.0021,0.9463,0.9358
5,1,0.9584,0.7925,0.7925,0.0231,0.8847,0.7925
5,2,0.9773,0.9767,0.7925,0.0021,0.8952,0.875
5,3,0.9773,1.0,0.7736,0.0,0.8868,0.8723
5,4,0.9773,0.9767,0.7925,0.0021,0.8952,0.875
5,5,0.9773,0.9767,0.7925,0.0021,0.8952,0.875
5,6,0.9773,0.9767,0.7925,0.0021,0.8952,0.875
5,7,0.9773,0.9767,0.7925,0.0021,0.8952,0.875
6,1,0.9683,0.8182,0.9643,0.0312,0.9666,0.8852
6,2,0.9977,1.0,0.9821,0.0,0.9911,0.991
6,3,0.9977,1.0,0.9821,0.0,0.9911,0.991
6,4,0.9977,1.0,0.9821,0.0,0.9911,0.991
6,5,0.9977,1.0,0.9821,0.0,0.9911,0.991
6,6,0.9955,0.9821,0.9821,0.0026,0.9898,0.9821
6,7,0.9955,0.9821,0.9821,0.0026,0.9898,0.9821
7,1,0.9653,0.7791,0.9853,0.0374,0.9739,0.8701
7,2,0.9948,0.971,0.9853,0.0039,0.9907,0.9781
7,3,0.9965,0.9714,1.0,0.0039,0.998,0.9855
7,4,0.9983,0.9855,1.0,0.002,0.999,0.9927
7,5,0.9983,1.0,0.9853,0.0,0.9926,0.9926
7,6,0.9983,0.9855,1.0,0.002,0.999,0.9927
7,7,0.9965,0.9714,1.0,0.0039,0.998,0.9855
8,1,0.934,0.7812,0.6757,0.0279,0.8239,0.7246
8,2,0.967,1.0,0.7432,0.0,0.8716,0.8527
8,3,0.9653,1.0,0.7297,0.0,0.8649,0.8437
8,4,0.9653,1.0,0.7297,0.0,0.8649,0.8437
8,5,0.9653,1.0,0.7297,0.0,0.8649,0.8437
8,6,0.9635,1.0,0.7162,0.0,0.8581,0.8346
8,7,0.9653,1.0,0.7297,0.0,0.8649,0.8437
9,1,0.9408,0.6449,0.9718,0.0628,0.9545,0.7753
9,2,0.9985,0.9861,1.0,0.0017,0.9992,0.993
9,3,0.997,1.0,0.9718,0.0,0.9859,0.9857
9,4,1.0,1.0,1.0,0.0,1.0,1.0
9,5,0.9985,0.9861,1.0,0.0017,0.9992,0.993
9,6,1.0,1.0,1.0,0.0,1.0,1.0
9,7,1.0,1.0,1.0,0.0,1.0,1.0
