trial_id,n_past,accuracy,precision,recall,fpr,balanced_accuracy,f1
0,1,0.9917,1.0,0.9333,0.0,0.9667,0.9655
0,2,0.9897,0.9825,0.9333,0.0024,0.9655,0.9573
0,3,0.9917,1.0,0.9333,0.0,0.9667,0.9655
0,4,0.9897,0.9825,0.9333,0.0024,0.9655,0.9573
0,5,0.9876,0.9655,0.9333,0.0047,0.9643,0.9492
0,6,0.9897,0.9825,0.9333,0.0024,0.9655,0.9573
0,7,0.9876,0.9821,0.9167,0.0024,0.9572,0.9483
1,1,0.9975,0.9821,1.0,0.0029,0.9986,0.991
1,2,0.9975,0.9821,1.0,0.0029,0.9986,0.991
1,3,0.995,0.9818,0.9818,0.0029,0.9895,0.9818
1,4,0.995,0.9818,0.9818,0.0029,0.9895,0.9818
1,5,0.9975,0.9821,1.0,0.0029,0.9986,0.991
1,6,0.995,0.9818,0.9818,0.0029,0.9895,0.9818
1,7,0.9975,0.9821,1.0,0.0029,0.9986,0.991
2,1,1.0,1.0,1.0,0.0,1.0,1.0
2,2,0.9938,0.9762,0.9762,0.0035,0.9863,0.9762
2,3,0.9938,0.9545,1.0,0.0071,0.9965,0.9767
2,4,0.9969,0.9767,1.0,0.0035,0.9982,0.9882
2,5,1.0,1.0,1.0,0.0,1.0,1.0
2,6,0.9969,0.9767,1.0,0.0035,0.9982,0.9882
2,7,0.9969,0.9767,1.0,0.0035,0.9982,0.9882
3,1,0.98,0.9778,0.8627,0.0029,0.9299,0.9167
3,2,0.9825,1.0,0.8627,0.0,0.9314,0.9263
3,3,0.9825,1.0,0.8627,0.0,0.9314,0.9263
3,4,0.9825,1.0,0.8627,0.0,0.9314,0.9263
3,5,0.98,1.0,0.8431,0.0,0.9216,0.9149
3,6,0.9825,1.0,0.8627,0.0,0.9314,0.9263
3,7,0.9775,1.0,0.8235,0.0,0.9118,0.9032
4,1,0.9887,1.0,0.9,0.0,0.95,0.9474
4,2,0.9864,0.9783,0.9,0.0026,0.9487,0.9375
4,3,0.9887,1.0,0.9,0.0,0.95,0.9474
4,4,0.9887,1.0,0.9,0.0,0.95,0.9474
4,5,0.9841,0.9778,0.88,0.0026,0.9387,0.9263
4,6,0.9864,1.0,0.88,0.0,0.94,0.9362
4,7,0.9887,1.0,0.9,0.0,0.95,0.9474
5,1,0.9938,0.9818,0.9643,0.0023,0.981,0.973
5,2,0.9938,0.9818,0.9643,0.0023,0.981,0.973
5,3,0.9959,1.0,0.9643,0.0,0.9821,0.9818
5,4,0.9959,1.0,0.9643,0.0,0.9821,0.9818
5,5,0.9959,1.0,0.9643,0.0,0.9821,0.9818
5,6,0.9959,1.0,0.9643,0.0,0.9821,0.9818
5,7,0.9959,1.0,0.9643,0.0,0.9821,0.9818
6,1,0.9948,1.0,0.9444,0.0,0.9722,0.9714
6,2,0.9913,0.9623,0.9444,0.0038,0.9703,0.9533
6,3,0.9948,1.0,0.9444,0.0,0.9722,0.9714
6,4,0.9931,0.9808,0.9444,0.0019,0.9713,0.9623
6,5,0.9913,0.9623,0.9444,0.0038,0.9703,0.9533
6,6,0.9931,0.9808,0.9444,0.0019,0.9713,0.9623
6,7,0.9931,0.9808,0.9444,0.0019,0.9713,0.9623
7,1,0.9969,1.0,0.9744,0.0,0.9872,0.987
7,2,0.9969,1.0,0.9744,0.0,0.9872,0.987
7,3,0.9938,1.0,0.9487,0.0,0.9744,0.9737
7,4,0.9969,1.0,0.9744,0.0,0.9872,0.987
7,5,0.9969,1.0,0.9744,0.0,0.9872,0.987
7,6,0.9969,1.0,0.9744,0.0,0.9872,0.987
7,7,0.9969,1.0,0.9744,0.0,0.9872,0.987
8,1,0.9793,0.9857,0.8415,0.0017,0.9199,0.9079
8,2,0.9808,1.0,0.8415,0.0,0.9207,0.9139
8,3,0.9778,0.9855,0.8293,0.0017,0.9138,0.9007
8,4,0.9822,1.0,0.8537,0.0,0.9268,0.9211
8,5,0.9822,1.0,0.8537,0.0,0.9268,0.9211
8,6,0.9822,1.0,0.8537,0.0,0.9268,0.9211
8,7,0.9822,1.0,0.8537,0.0,0.9268,0.9211
9,1,0.997,0.9765,1.0,0.0034,0.9983,0.9881
9,2,0.997,0.988,0.988,0.0017,0.9931,0.988
9,3,0.997,0.9765,1.0,0.0034,0.9983,0.9881
9,4,0.9985,0.9881,1.0,0.0017,0.9992,0.994
9,5,1.0,1.0,1.0,0.0,1.0,1.0
9,6,1.0,1.0,1.0,0.0,1.0,1.0
9,7,1.0,1.0,1.0,0.0,1.0,1.0
