trial_id,n_past,accuracy,precision,recall,fpr,balanced_accuracy,f1
0,2,0.9878,1.0,0.8889,0.0,0.9444,0.9412
0,3,0.9878,1.0,0.8889,0.0,0.9444,0.9412
0,4,0.9878,1.0,0.8889,0.0,0.9444,0.9412
0,5,0.9878,1.0,0.8889,0.0,0.9444,0.9412
0,6,0.9878,1.0,0.8889,0.0,0.9444,0.9412
0,7,0.9878,1.0,0.8889,0.0,0.9444,0.9412
1,2,0.9975,0.9804,1.0,0.0029,0.9986,0.9901
1,3,0.9975,0.9804,1.0,0.0029,0.9986,0.9901
1,4,1.0,1.0,1.0,0.0,1.0,1.0
1,5,0.9975,0.9804,1.0,0.0029,0.9986,0.9901
1,6,0.995,0.9615,1.0,0.0057,0.9971,0.9804
1,7,0.9925,0.9434,1.0,0.0086,0.9957,0.9709
2,2,0.9917,0.9808,0.9444,0.0023,0.9711,0.9623
2,3,0.9917,0.9808,0.9444,0.0023,0.9711,0.9623
2,4,0.9917,0.9808,0.9444,0.0023,0.9711,0.9623
2,5,0.9897,0.9623,0.9444,0.0047,0.9699,0.9533
2,6,0.9897,0.9623,0.9444,0.0047,0.9699,0.9533
2,7,0.9897,0.9623,0.9444,0.0047,0.9699,0.9533
3,2,0.9872,0.9577,0.9315,0.0054,0.963,0.9444
3,3,0.992,0.9722,0.9589,0.0036,0.9776,0.9655
3,4,0.9872,0.9452,0.9452,0.0072,0.969,0.9452
3,5,0.9904,0.9589,0.9589,0.0054,0.9767,0.9589
3,6,0.9888,0.9583,0.9452,0.0054,0.9699,0.9517
3,7,0.9872,0.9452,0.9452,0.0072,0.969,0.9452
4,2,0.997,0.9756,1.0,0.0034,0.9983,0.9877
4,3,0.9985,0.9877,1.0,0.0017,0.9992,0.9938
4,4,0.9956,0.9639,1.0,0.005,0.9975,0.9816
4,5,0.9985,0.9877,1.0,0.0017,0.9992,0.9938
4,6,0.9956,0.9639,1.0,0.005,0.9975,0.9816
4,7,0.9956,0.9639,1.0,0.005,0.9975,0.9816
5,2,0.9941,0.957,1.0,0.0068,0.9966,0.978
5,3,0.9911,0.9368,1.0,0.0102,0.9949,0.9674
5,4,0.9956,0.9674,1.0,0.0051,0.9974,0.9834
5,5,0.9956,0.9674,1.0,0.0051,0.9974,0.9834
5,6,0.9941,0.957,1.0,0.0068,0.9966,0.978
5,7,0.9941,0.957,1.0,0.0068,0.9966,0.978
6,2,0.9936,0.9744,0.9744,0.0037,0.9854,0.9744
6,3,0.9888,0.9383,0.9744,0.0091,0.9826,0.956
6,4,0.9904,0.95,0.9744,0.0073,0.9835,0.962
6,5,0.9856,0.9157,0.9744,0.0128,0.9808,0.9441
6,6,0.9904,0.95,0.9744,0.0073,0.9835,0.962
6,7,0.9904,0.95,0.9744,0.0073,0.9835,0.962
7,2,0.9887,1.0,0.9138,0.0,0.9569,0.955
7,3,0.9887,1.0,0.9138,0.0,0.9569,0.955
7,4,0.9887,1.0,0.9138,0.0,0.9569,0.955
7,5,0.9887,1.0,0.9138,0.0,0.9569,0.955
7,6,0.9887,1.0,0.9138,0.0,0.9569,0.955
7,7,0.9887,1.0,0.9138,0.0,0.9569,0.955
8,2,0.9793,0.9792,0.8393,0.0023,0.9185,0.9038
8,3,0.9793,0.96,0.8571,0.0047,0.9262,0.9057
8,4,0.9773,0.9592,0.8393,0.0047,0.9173,0.8952
8,5,0.9814,0.9796,0.8571,0.0023,0.9274,0.9143
8,6,0.9793,0.9792,0.8393,0.0023,0.9185,0.9038
8,7,0.9793,0.9792,0.8393,0.0023,0.9185,0.9038
9,2,0.9938,0.9828,0.9661,0.0024,0.9819,0.9744
9,3,0.9897,0.95,0.9661,0.0071,0.9795,0.958
9,4,0.9938,0.9828,0.9661,0.0024,0.9819,0.9744
9,5,0.9876,0.9344,0.9661,0.0094,0.9783,0.95
9,6,0.9897,0.95,0.9661,0.0071,0.9795,0.958
9,7,0.9855,0.9194,0.9661,0.0118,0.9772,0.9421
