trial_id,n_past,accuracy,precision,recall,fpr,balanced_accuracy,f1
0,2,0.9584,0.8444,0.8261,0.0222,0.9019,0.8352
0,3,0.9806,0.9756,0.8696,0.0032,0.9332,0.9195
0,4,0.9778,1.0,0.8261,0.0,0.913,0.9048
0,5,0.9806,1.0,0.8478,0.0,0.9239,0.9176
0,6,0.9751,0.9744,0.8261,0.0032,0.9115,0.8941
0,7,0.9834,1.0,0.8696,0.0,0.9348,0.9302
1,2,0.9612,0.8372,0.8372,0.022,0.9076,0.8372
1,3,0.9695,0.9,0.8372,0.0126,0.9123,0.8675
1,4,0.9751,0.9474,0.8372,0.0063,0.9155,0.8889
1,5,0.9806,1.0,0.8372,0.0,0.9186,0.9114
1,6,0.9778,0.973,0.8372,0.0031,0.917,0.9
1,7,0.9778,0.973,0.8372,0.0031,0.917,0.9
2,2,0.9688,0.7831,1.0,0.0352,0.9824,0.8784
2,3,0.9913,0.9286,1.0,0.0098,0.9951,0.963
2,4,0.9913,0.9286,1.0,0.0098,0.9951,0.963
2,5,0.9948,0.9559,1.0,0.0059,0.9971,0.9774
2,6,0.9948,0.9559,1.0,0.0059,0.9971,0.9774
2,7,0.9965,0.9701,1.0,0.0039,0.998,0.9848
3,2,0.9472,0.8889,0.64,0.0109,0.8145,0.7442
3,3,0.9536,0.9792,0.6267,0.0018,0.8124,0.7642
3,4,0.9536,0.96,0.64,0.0036,0.8182,0.768
3,5,0.9504,0.94,0.6267,0.0055,0.8106,0.752
3,6,0.9504,0.94,0.6267,0.0055,0.8106,0.752
3,7,0.9584,0.9804,0.6667,0.0018,0.8324,0.7937
4,2,0.9615,0.7658,1.0,0.044,0.978,0.8673
4,3,0.9808,0.8673,1.0,0.022,0.989,0.929
4,4,0.9911,0.9341,1.0,0.0102,0.9949,0.9659
4,5,0.9867,0.9043,1.0,0.0152,0.9924,0.9497
4,6,0.9956,0.9659,1.0,0.0051,0.9975,0.9827
4,7,0.9956,0.9659,1.0,0.0051,0.9975,0.9827
5,2,0.9456,0.6944,0.9615,0.0566,0.9525,0.8065
5,3,0.9796,0.8772,0.9615,0.018,0.9718,0.9174
5,4,0.9796,0.8772,0.9615,0.018,0.9718,0.9174
5,5,0.9864,0.9259,0.9615,0.0103,0.9756,0.9434
5,6,0.9864,0.9259,0.9615,0.0103,0.9756,0.9434
5,7,0.9932,0.9804,0.9615,0.0026,0.9795,0.9709
6,2,0.9592,0.7895,0.8824,0.0308,0.9258,0.8333
6,3,0.9728,0.898,0.8627,0.0128,0.925,0.88
6,4,0.9751,0.9167,0.8627,0.0103,0.9262,0.8889
6,5,0.9773,0.9184,0.8824,0.0103,0.936,0.9
6,6,0.9819,0.9574,0.8824,0.0051,0.9386,0.9184
6,7,0.9841,0.9583,0.902,0.0051,0.9484,0.9293
7,2,0.9635,0.7727,0.9855,0.0394,0.973,0.8662
7,3,0.9913,0.9444,0.9855,0.0079,0.9888,0.9645
7,4,0.9931,0.9577,0.9855,0.0059,0.9898,0.9714
7,5,0.9931,0.9577,0.9855,0.0059,0.9898,0.9714
7,6,0.9913,0.9444,0.9855,0.0079,0.9888,0.9645
7,7,0.9948,0.9714,0.9855,0.0039,0.9908,0.9784
8,2,0.9751,0.8788,0.8529,0.0122,0.9204,0.8657
8,3,0.9834,0.9667,0.8529,0.0031,0.9249,0.9062
8,4,0.9834,0.9667,0.8529,0.0031,0.9249,0.9062
8,5,0.9834,0.9667,0.8529,0.0031,0.9249,0.9062
8,6,0.9861,1.0,0.8529,0.0,0.9265,0.9206
8,7,0.9834,0.9667,0.8529,0.0031,0.9249,0.9062
9,2,0.9751,0.8281,1.0,0.0284,0.9858,0.906
9,3,0.9841,0.8833,1.0,0.018,0.991,0.9381
9,4,0.9864,0.8983,1.0,0.0155,0.9923,0.9464
9,5,0.9864,0.8983,1.0,0.0155,0.9923,0.9464
9,6,0.9932,0.9464,1.0,0.0077,0.9961,0.9725
9,7,0.9909,0.9298,1.0,0.0103,0.9948,0.9636
