scenario,method,repeat,depth,edge_count,D_p,D_minus,D_plus,cumulative_instability,T_obs,selected_absolute,selected_relative,selected_bootstrap_band,accuracy,precision,recall,fpr,balanced_accuracy,f1,tp,fp,tn,fn
order1_unconfounded,fast_gcstar_cgc,0,1,11,,,,0.0,0.0,2,2,,0.7555555555555555,0.0,0.0,0.13924050632911392,0.43037974683544306,0.0,0.0,11.0,68.0,11.0
order1_unconfounded,fast_gcstar_cgc,0,2,11,0.0,0.0,0.0,0.0,0.0,2,2,,0.7555555555555555,0.0,0.0,0.13924050632911392,0.43037974683544306,0.0,0.0,11.0,68.0,11.0
order1_unconfounded,fast_gcstar_cgc,0,3,11,0.0,0.0,0.0,0.0,0.0,2,2,,0.7555555555555555,0.0,0.0,0.13924050632911392,0.43037974683544306,0.0,0.0,11.0,68.0,11.0
order1_unconfounded,fast_gcstar_cgc,0,4,11,0.0,0.0,0.0,0.0,0.0,2,2,,0.7555555555555555,0.0,0.0,0.13924050632911392,0.43037974683544306,0.0,0.0,11.0,68.0,11.0
order1_unconfounded,fast_gcstar_cgc,0,5,11,0.0,0.0,0.0,0.0,0.0,2,2,,0.7555555555555555,0.0,0.0,0.13924050632911392,0.43037974683544306,0.0,0.0,11.0,68.0,11.0
order1_unconfounded,fast_gcstar_cgc,0,6,11,0.0,0.0,0.0,0.0,0.0,2,2,,0.7555555555555555,0.0,0.0,0.13924050632911392,0.43037974683544306,0.0,0.0,11.0,68.0,11.0
order1_unconfounded,fast_gcstar_cgc,0,7,11,0.0,0.0,0.0,0.0,0.0,2,2,,0.7555555555555555,0.0,0.0,0.13924050632911392,0.43037974683544306,0.0,0.0,11.0,68.0,11.0
order1_unconfounded,fast_gcstar_cgc,1,1,13,,,,0.0,0.0,2,2,,0.7555555555555555,0.15384615384615385,0.15384615384615385,0.14285714285714285,0.5054945054945055,0.15384615384615385,2.0,11.0,66.0,11.0
order1_unconfounded,fast_gcstar_cgc,1,2,13,0.0,0.0,0.0,0.0,0.0,2,2,,0.7555555555555555,0.15384615384615385,0.15384615384615385,0.14285714285714285,0.5054945054945055,0.15384615384615385,2.0,11.0,66.0,11.0
order1_unconfounded,fast_gcstar_cgc,1,3,13,0.0,0.0,0.0,0.0,0.0,2,2,,0.7555555555555555,0.15384615384615385,0.15384615384615385,0.14285714285714285,0.5054945054945055,0.15384615384615385,2.0,11.0,66.0,11.0
order1_unconfounded,fast_gcstar_cgc,1,4,13,0.0,0.0,0.0,0.0,0.0,2,2,,0.7555555555555555,0.15384615384615385,0.15384615384615385,0.14285714285714285,0.5054945054945055,0.15384615384615385,2.0,11.0,66.0,11.0
order1_unconfounded,fast_gcstar_cgc,1,5,13,0.0,0.0,0.0,0.0,0.0,2,2,,0.7555555555555555,0.15384615384615385,0.15384615384615385,0.14285714285714285,0.5054945054945055,0.15384615384615385,2.0,11.0,66.0,11.0
order1_unconfounded,fast_gcstar_cgc,1,6,13,0.0,0.0,0.0,0.0,0.0,2,2,,0.7555555555555555,0.15384615384615385,0.15384615384615385,0.14285714285714285,0.5054945054945055,0.15384615384615385,2.0,11.0,66.0,11.0
order1_unconfounded,fast_gcstar_cgc,1,7,13,0.0,0.0,0.0,0.0,0.0,2,2,,0.7555555555555555,0.15384615384615385,0.15384615384615385,0.14285714285714285,0.5054945054945055,0.15384615384615385,2.0,11.0,66.0,11.0
