scenario,method,depth,edge_count_mean,edge_count_std,D_p_mean,D_p_std,D_minus_mean,D_minus_std,D_plus_mean,D_plus_std,cumulative_instability_mean,cumulative_instability_std,T_obs_mean,T_obs_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,fpr_mean,fpr_std,tp_mean,tp_std,fp_mean,fp_std,tn_mean,tn_std,fn_mean,fn_std
latent_common_driver,fast_gcstar_fcgc,1,9.5,4.766783215358364,,,,,,,0.0,0.0,0.01888888888888889,0.013907395078161916,0.7966666666666666,0.06830296424427118,0.02857142857142857,0.06023386019368342,0.03636363636363636,0.07666127661014253,0.11435163471398854,0.057555316396122685,0.4,0.8432740427115679,9.1,4.408325456829762,71.3,6.395310782127793,9.2,2.3475755815545347
latent_common_driver,fast_gcstar_fcgc,2,9.0,4.371625682868,0.014444444444444446,0.015757072137913074,0.01,0.013302433330420717,0.0044444444444444444,0.00573775310549247,0.014444444444444446,0.015757072137913074,0.01888888888888889,0.013907395078161916,0.8022222222222222,0.06237195388154338,0.03,0.06373169066533328,0.03636363636363636,0.07666127661014253,0.10794095678432328,0.05181600578378968,0.4,0.8432740427115679,8.6,3.9777157040470126,71.8,5.884065110297661,9.2,2.3475755815545347
latent_common_driver,fast_gcstar_fcgc,3,8.9,4.38304815295373,0.003333333333333333,0.007499428419006144,0.0022222222222222222,0.0070272836892630655,0.0011111111111111111,0.0035136418446315328,0.017777777777777778,0.015887118955205344,0.01888888888888889,0.013907395078161916,0.8033333333333333,0.06416072069078589,0.03,0.06373169066533328,0.03636363636363636,0.07666127661014253,0.10682258350908727,0.05197334291307035,0.4,0.8432740427115679,8.5,3.9791121287711073,71.9,6.045200116161949,9.2,2.3475755815545347
latent_common_driver,fast_gcstar_fcgc,4,8.9,4.557045826702499,0.0044444444444444444,0.007768954430890012,0.0022222222222222222,0.004684855792842044,0.0022222222222222222,0.004684855792842044,0.02222222222222222,0.018885257457751055,0.01888888888888889,0.013907395078161916,0.8033333333333333,0.06647090599884485,0.03,0.06373169066533328,0.03636363636363636,0.07666127661014253,0.10688671690655398,0.05441506983656895,0.4,0.8432740427115679,8.5,4.169998667732268,71.9,6.2441083341730135,9.2,2.3475755815545347
latent_common_driver,fast_gcstar_fcgc,5,8.9,4.2282121254470875,0.008888888888888889,0.00876456264162906,0.0044444444444444444,0.007768954430890012,0.0044444444444444444,0.00573775310549247,0.03111111111111111,0.023306863292670035,0.01888888888888889,0.013907395078161916,0.8033333333333333,0.06264626232915607,0.030952380952380953,0.06549422551040558,0.03636363636363636,0.07666127661014253,0.10674492998473555,0.050522194573459064,0.4,0.8432740427115679,8.5,3.865804501581067,71.9,5.877452206904319,9.2,2.3475755815545347
latent_common_driver,fast_gcstar_fcgc,6,9.0,4.2946995755750415,0.005555555555555556,0.007856742013183862,0.0022222222222222222,0.004684855792842044,0.003333333333333333,0.005367176572662755,0.03666666666666667,0.028712662878984156,0.01888888888888889,0.013907395078161916,0.8022222222222222,0.06302828855165227,0.03,0.06373169066533328,0.03636363636363636,0.07666127661014253,0.10802740278619569,0.05090213895290463,0.4,0.8432740427115679,8.6,3.8930136855083823,71.8,5.940445175985456,9.2,2.3475755815545347
latent_common_driver,fast_gcstar_fcgc,7,8.9,4.581363212940979,0.0077777777777777776,0.007499428419006144,0.0044444444444444444,0.00573775310549247,0.003333333333333333,0.005367176572662755,0.044444444444444446,0.03353846347458303,0.01888888888888889,0.013907395078161916,0.8033333333333333,0.0674948557710553,0.030952380952380953,0.06549422551040558,0.03636363636363636,0.07666127661014253,0.10688671690655398,0.05538790764678069,0.4,0.8432740427115679,8.5,4.249182927993988,71.9,6.29726572057711,9.2,2.3475755815545347
order1_unconfounded,fast_gcstar_fcgc,1,11.7,1.888562063228706,,,,,,,0.0,0.0,0.0,0.0,0.7533333333333333,0.04248779377688884,0.04871794871794872,0.07852091677166394,0.04871794871794872,0.07852091677166394,0.14228197641624835,0.026880497519968457,0.6,0.9660917830792959,11.1,1.9119507199599977,67.2,3.6757463338907255,11.1,1.9119507199599977
order1_unconfounded,fast_gcstar_fcgc,2,11.7,1.888562063228706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7533333333333333,0.04248779377688884,0.04871794871794872,0.07852091677166394,0.04871794871794872,0.07852091677166394,0.14228197641624835,0.026880497519968457,0.6,0.9660917830792959,11.1,1.9119507199599977,67.2,3.6757463338907255,11.1,1.9119507199599977
order1_unconfounded,fast_gcstar_fcgc,3,11.7,1.888562063228706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7533333333333333,0.04248779377688884,0.04871794871794872,0.07852091677166394,0.04871794871794872,0.07852091677166394,0.14228197641624835,0.026880497519968457,0.6,0.9660917830792959,11.1,1.9119507199599977,67.2,3.6757463338907255,11.1,1.9119507199599977
