dataset,file,P,edge_count,previous_P,previous_edge_count,edge_delta,net_edge_loss_count,D_p,D_minus,D_plus,edge_deletions,edge_additions,net_deletion_count,deletion_share_of_changes,addition_share_of_changes,net_deletion_fraction_possible
220119_F2_run11,220119_F2_run11.pkl,1,385,,,,,,,,,,,,,
220119_F2_run11,220119_F2_run11.pkl,2,291,1.0,385.0,-94.0,94.0,0.0151515151515151,0.0123232323232323,0.0028282828282828,122.0,28.0,94.0,0.8133333333333332,0.1866666666666666,0.0094949494949494
220119_F2_run11,220119_F2_run11.pkl,3,270,2.0,291.0,-21.0,21.0,0.0097979797979797,0.0059595959595959,0.0038383838383838,59.0,38.0,21.0,0.6082474226804123,0.3917525773195876,0.0021212121212121
220119_F2_run11,220119_F2_run11.pkl,4,254,3.0,270.0,-16.0,16.0,0.006060606060606,0.0038383838383838,0.0022222222222222,38.0,22.0,16.0,0.6333333333333333,0.3666666666666666,0.0016161616161616
220119_F2_run11,220119_F2_run11.pkl,5,277,4.0,254.0,23.0,-23.0,0.0073737373737373,0.0025252525252525,0.0048484848484848,25.0,48.0,-23.0,0.3424657534246575,0.6575342465753425,-0.0023232323232323
220119_F2_run11,220119_F2_run11.pkl,6,284,5.0,277.0,7.0,-7.0,0.0079797979797979,0.0036363636363636,0.0043434343434343,36.0,43.0,-7.0,0.4556962025316456,0.5443037974683546,-0.0007070707070707
220119_F2_run11,220119_F2_run11.pkl,7,287,6.0,284.0,3.0,-3.0,0.0077777777777777,0.0037373737373737,0.004040404040404,37.0,40.0,-3.0,0.4805194805194805,0.5194805194805195,-0.0003030303030303
220127_F4_run2,220127_F4_run2.pkl,1,470,,,,,,,,,,,,,
220127_F4_run2,220127_F4_run2.pkl,2,425,1.0,470.0,-45.0,45.0,0.018036311514572384,0.011705685618729096,0.006330625895843287,98.0,53.0,45.0,0.6490066225165563,0.3509933774834437,0.005375059722885809
220127_F4_run2,220127_F4_run2.pkl,3,428,2.0,425.0,3.0,-3.0,0.013497372193024366,0.006569517439082656,0.00692785475394171,55.0,58.0,-3.0,0.48672566371681414,0.5132743362831859,-0.000358337314859054
220127_F4_run2,220127_F4_run2.pkl,4,422,3.0,428.0,-6.0,6.0,0.010033444816053512,0.00537505972288581,0.004658385093167702,45.0,39.0,6.0,0.5357142857142857,0.4642857142857143,0.000716674629718108
220127_F4_run2,220127_F4_run2.pkl,5,426,4.0,422.0,4.0,-4.0,0.009794553272814142,0.004658385093167702,0.005136168179646441,39.0,43.0,-4.0,0.475609756097561,0.524390243902439,-0.00047778308647873895
220127_F4_run2,220127_F4_run2.pkl,6,437,5.0,426.0,11.0,-11.0,0.011347348303870044,0.005016722408026756,0.006330625895843287,42.0,53.0,-11.0,0.4421052631578947,0.5578947368421052,-0.001313903487816531
220127_F4_run2,220127_F4_run2.pkl,7,462,6.0,437.0,25.0,-25.0,0.013736263736263736,0.00537505972288581,0.008361204013377926,45.0,70.0,-25.0,0.391304347826087,0.6086956521739131,-0.002986144290492116
