dataset,file,P,edge_count,D_p,D_minus,D_plus
220119_F2_run11,220119_F2_run11.pkl,1,477,,,
220119_F2_run11,220119_F2_run11.pkl,2,315,0.02585858585858586,0.021111111111111112,0.004747474747474748
220119_F2_run11,220119_F2_run11.pkl,3,270,0.013434343434343434,0.00898989898989899,0.0044444444444444444
220119_F2_run11,220119_F2_run11.pkl,4,253,0.01101010101010101,0.006363636363636364,0.004646464646464647
220119_F2_run11,220119_F2_run11.pkl,5,259,0.01090909090909091,0.005151515151515152,0.005757575757575757
220119_F2_run11,220119_F2_run11.pkl,6,261,0.011515151515151515,0.0056565656565656566,0.005858585858585859
220119_F2_run11,220119_F2_run11.pkl,7,268,0.012222222222222223,0.005757575757575757,0.006464646464646465
220127_F4_run2,220127_F4_run2.pkl,1,487,,,
220127_F4_run2,220127_F4_run2.pkl,2,421,0.03368370759675107,0.020783564261825132,0.012900143334925944
220127_F4_run2,220127_F4_run2.pkl,3,411,0.019111323459149548,0.010152890587673196,0.00895843287147635
220127_F4_run2,220127_F4_run2.pkl,4,376,0.014691829909221214,0.009436215957955088,0.005255613951266125
220127_F4_run2,220127_F4_run2.pkl,5,373,0.015169612995699952,0.007763975155279503,0.007405637840420449
220127_F4_run2,220127_F4_run2.pkl,6,382,0.011586239847109412,0.005255613951266125,0.006330625895843287
220127_F4_run2,220127_F4_run2.pkl,7,398,0.013377926421404682,0.005733397037744864,0.007644529383659818
220210_F1_run6,220210_F1_run6.pkl,1,1232,,,
220210_F1_run6,220210_F1_run6.pkl,2,710,0.05688729874776386,0.04400715563506261,0.012880143112701253
220210_F1_run6,220210_F1_run6.pkl,3,631,0.023673225998807394,0.01419200954084675,0.009481216457960644
220210_F1_run6,220210_F1_run6.pkl,4,655,0.018246869409660107,0.008407871198568872,0.009838998211091235
220210_F1_run6,220210_F1_run6.pkl,5,661,0.0172927847346452,0.008467501490757305,0.008825283243887896
220210_F1_run6,220210_F1_run6.pkl,6,719,0.018962432915921288,0.007751937984496124,0.011210494931425164
220210_F1_run6,220210_F1_run6.pkl,7,717,0.017889087656529516,0.009004174120453191,0.008884913536076327
220210_F2_run5,220210_F2_run5.pkl,1,1034,,,
220210_F2_run5,220210_F2_run5.pkl,2,826,0.028381374722838137,0.0180339985218034,0.010347376201034738
220210_F2_run5,220210_F2_run5.pkl,3,804,0.013747228381374724,0.007280118255728012,0.006467110125646711
220210_F2_run5,220210_F2_run5.pkl,4,823,0.012158167036215816,0.005728011825572801,0.006430155210643016
220210_F2_run5,220210_F2_run5.pkl,5,849,0.013155949741315596,0.006097560975609756,0.007058388765705839
220210_F2_run5,220210_F2_run5.pkl,6,882,0.013340724316334072,0.006060606060606061,0.007280118255728012
220210_F2_run5,220210_F2_run5.pkl,7,948,0.014634146341463415,0.006097560975609756,0.00853658536585366
