dataset,file,P,edge_count,previous_P,previous_edge_count,edge_delta,net_edge_loss_count,D_p,D_minus,D_plus,edge_deletions,edge_additions,net_deletion_count,deletion_share_of_changes,addition_share_of_changes,net_deletion_fraction_possible
220119_F2_run11,220119_F2_run11.pkl,1,362,,,,,,,,,,,,,
220119_F2_run11,220119_F2_run11.pkl,2,281,1.0,362.0,-81.0,81.0,0.0146464646464646,0.0114141414141414,0.0032323232323232,113.0,32.0,81.0,0.7793103448275862,0.2206896551724138,0.0081818181818181
220119_F2_run11,220119_F2_run11.pkl,3,266,2.0,281.0,-15.0,15.0,0.0087878787878787,0.0051515151515151,0.0036363636363636,51.0,36.0,15.0,0.5862068965517242,0.4137931034482759,0.0015151515151515
220119_F2_run11,220119_F2_run11.pkl,4,254,3.0,266.0,-12.0,12.0,0.0052525252525252,0.0032323232323232,0.002020202020202,32.0,20.0,12.0,0.6153846153846154,0.3846153846153846,0.0012121212121212
220119_F2_run11,220119_F2_run11.pkl,5,273,4.0,254.0,19.0,-19.0,0.0071717171717171,0.0026262626262626,0.0045454545454545,26.0,45.0,-19.0,0.3661971830985915,0.6338028169014084,-0.0019191919191919
220119_F2_run11,220119_F2_run11.pkl,6,281,5.0,273.0,8.0,-8.0,0.008080808080808,0.0036363636363636,0.0044444444444444,36.0,44.0,-8.0,0.45,0.55,-0.0008080808080808
220119_F2_run11,220119_F2_run11.pkl,7,286,6.0,281.0,5.0,-5.0,0.0075757575757575,0.0035353535353535,0.004040404040404,35.0,40.0,-5.0,0.4666666666666667,0.5333333333333333,-0.0005050505050505
220127_F4_run2,220127_F4_run2.pkl,1,448,,,,,,,,,,,,,
220127_F4_run2,220127_F4_run2.pkl,2,415,1.0,448.0,-33.0,33.0,0.015647396082178692,0.009794553272814142,0.005852842809364548,82.0,49.0,33.0,0.6259541984732824,0.3740458015267175,0.003941710463449594
220127_F4_run2,220127_F4_run2.pkl,3,424,2.0,415.0,9.0,-9.0,0.01254180602006689,0.005733397037744864,0.006808408982322026,48.0,57.0,-9.0,0.45714285714285713,0.5428571428571428,-0.001075011944577162
220127_F4_run2,220127_F4_run2.pkl,4,413,3.0,424.0,-11.0,11.0,0.009675107501194458,0.005494505494505495,0.004180602006688963,46.0,35.0,11.0,0.5679012345679013,0.43209876543209874,0.001313903487816532
220127_F4_run2,220127_F4_run2.pkl,5,427,4.0,413.0,14.0,-14.0,0.009555661729574774,0.003941710463449594,0.005613951266125179,33.0,47.0,-14.0,0.4125,0.5874999999999999,-0.001672240802675585
220127_F4_run2,220127_F4_run2.pkl,6,432,5.0,427.0,5.0,-5.0,0.010391782130912566,0.004897276636407071,0.005494505494505495,41.0,46.0,-5.0,0.47126436781609193,0.5287356321839081,-0.0005972288580984239
220127_F4_run2,220127_F4_run2.pkl,7,460,6.0,432.0,28.0,-28.0,0.013616817964644052,0.005136168179646441,0.008480649784997612,43.0,71.0,-28.0,0.37719298245614036,0.6228070175438597,-0.003344481605351171
