dataset,file,P,edge_count,previous_P,previous_edge_count,edge_delta,net_edge_loss_count,D_p,D_minus,D_plus,edge_deletions,edge_additions,net_deletion_count,deletion_share_of_changes,addition_share_of_changes,net_deletion_fraction_possible
220119_F2_run11,220119_F2_run11.pkl,1,484,,,,,,,,,,,,,
220119_F2_run11,220119_F2_run11.pkl,2,390,1.0,484.0,-94.0,94.0,0.021616161616161617,0.015555555555555555,0.006060606060606061,154.0,60.0,94.0,0.719626168224299,0.2803738317757009,0.009494949494949494
220119_F2_run11,220119_F2_run11.pkl,3,380,2.0,390.0,-10.0,10.0,0.017575757575757574,0.009292929292929294,0.008282828282828282,92.0,82.0,10.0,0.5287356321839082,0.471264367816092,0.0010101010101010114
220119_F2_run11,220119_F2_run11.pkl,4,355,3.0,380.0,-25.0,25.0,0.014444444444444444,0.008484848484848486,0.00595959595959596,84.0,59.0,25.0,0.5874125874125875,0.4125874125874126,0.002525252525252526
220119_F2_run11,220119_F2_run11.pkl,5,368,4.0,355.0,13.0,-13.0,0.016464646464646463,0.007575757575757576,0.008888888888888889,75.0,88.0,-13.0,0.46012269938650313,0.539877300613497,-0.001313131313131313
220127_F4_run2,220127_F4_run2.pkl,1,558,,,,,,,,,,,,,
220127_F4_run2,220127_F4_run2.pkl,2,524,1.0,558.0,-34.0,34.0,0.0234113712374581,0.0137362637362637,0.0096751075011944,115.0,81.0,34.0,0.5867346938775511,0.413265306122449,0.0040611562350692
220127_F4_run2,220127_F4_run2.pkl,3,508,2.0,524.0,-16.0,16.0,0.0198279980888676,0.0108695652173913,0.0089584328714763,91.0,75.0,16.0,0.5481927710843373,0.4518072289156626,0.0019111323459149
220127_F4_run2,220127_F4_run2.pkl,4,506,3.0,508.0,-2.0,2.0,0.0167224080267558,0.0084806497849976,0.0082417582417582,71.0,69.0,2.0,0.5071428571428572,0.4928571428571429,0.0002388915432393
220127_F4_run2,220127_F4_run2.pkl,5,486,4.0,506.0,-20.0,20.0,0.0172001911132345,0.0097945532728141,0.0074056378404204,82.0,62.0,20.0,0.5694444444444444,0.4305555555555555,0.0023889154323936
