dataset,file,P,edge_count,previous_P,previous_edge_count,edge_delta,net_edge_loss_count,D_p,D_minus,D_plus,edge_deletions,edge_additions,net_deletion_count,deletion_share_of_changes,addition_share_of_changes,net_deletion_fraction_possible
220119_F2_run11,220119_F2_run11.pkl,1,484,,,,,,,,,,,,,
220119_F2_run11,220119_F2_run11.pkl,2,388,1.0,484.0,-96.0,96.0,0.0236363636363636,0.0166666666666666,0.0069696969696969,165.0,69.0,96.0,0.7051282051282052,0.2948717948717949,0.0096969696969696
220119_F2_run11,220119_F2_run11.pkl,3,367,2.0,388.0,-21.0,21.0,0.0176767676767676,0.0098989898989898,0.0077777777777777,98.0,77.0,21.0,0.5599999999999999,0.44,0.0021212121212121
220119_F2_run11,220119_F2_run11.pkl,4,348,3.0,367.0,-19.0,19.0,0.0164646464646464,0.0091919191919191,0.0072727272727272,91.0,72.0,19.0,0.5582822085889572,0.441717791411043,0.0019191919191919
220119_F2_run11,220119_F2_run11.pkl,5,394,4.0,348.0,46.0,-46.0,0.0151515151515151,0.0052525252525252,0.0098989898989898,52.0,98.0,-46.0,0.3466666666666667,0.6533333333333333,-0.0046464646464646
220119_F2_run11,220119_F2_run11.pkl,6,392,5.0,394.0,-2.0,2.0,0.0181818181818181,0.0091919191919191,0.0089898989898989,91.0,89.0,2.0,0.5055555555555556,0.4944444444444445,0.0002020202020202
220119_F2_run11,220119_F2_run11.pkl,7,421,6.0,392.0,29.0,-29.0,0.0186868686868686,0.0078787878787878,0.0108080808080808,78.0,107.0,-29.0,0.4216216216216216,0.5783783783783785,-0.0029292929292929
220127_F4_run2,220127_F4_run2.pkl,1,566,,,,,,,,,,,,,
220127_F4_run2,220127_F4_run2.pkl,2,508,1.0,566.0,-58.0,58.0,0.0262780697563306,0.0166029622551361,0.0096751075011944,139.0,81.0,58.0,0.6318181818181818,0.3681818181818182,0.0069278547539417
220127_F4_run2,220127_F4_run2.pkl,3,508,2.0,508.0,0.0,0.0,0.0203057811753463,0.0101528905876731,0.0101528905876731,85.0,85.0,0.0,0.5,0.5,0.0
220127_F4_run2,220127_F4_run2.pkl,4,501,3.0,508.0,-7.0,7.0,0.0168418537983755,0.0088389870998566,0.0080028666985188,74.0,67.0,7.0,0.5248226950354611,0.475177304964539,0.0008361204013377
220127_F4_run2,220127_F4_run2.pkl,5,514,4.0,501.0,13.0,-13.0,0.0182752030578117,0.0083612040133779,0.0099139990444338,70.0,83.0,-13.0,0.457516339869281,0.542483660130719,-0.0015527950310559
220127_F4_run2,220127_F4_run2.pkl,6,527,5.0,514.0,13.0,-13.0,0.0189918776875298,0.0087195413282369,0.0102723363592928,73.0,86.0,-13.0,0.4591194968553459,0.5408805031446542,-0.0015527950310559
220127_F4_run2,220127_F4_run2.pkl,7,537,6.0,527.0,10.0,-10.0,0.018155757286192,0.0084806497849976,0.0096751075011944,71.0,81.0,-10.0,0.4671052631578948,0.5328947368421053,-0.0011944577161968
220210_F1_run6,220210_F1_run6.pkl,1,751,,,,,,,,,,,,,
220210_F1_run6,220210_F1_run6.pkl,2,614,1.0,751.0,-137.0,137.0,0.0346464646464646,0.0242424242424242,0.0104040404040404,240.0,103.0,137.0,0.6997084548104956,0.3002915451895043,0.0138383838383838
220210_F1_run6,220210_F1_run6.pkl,3,590,2.0,614.0,-24.0,24.0,0.0222222222222222,0.0123232323232323,0.0098989898989898,122.0,98.0,24.0,0.5545454545454545,0.4454545454545454,0.0024242424242424
220210_F1_run6,220210_F1_run6.pkl,4,604,3.0,590.0,14.0,-14.0,0.0177777777777777,0.0081818181818181,0.0095959595959595,81.0,95.0,-14.0,0.4602272727272727,0.5397727272727272,-0.0014141414141414
220210_F1_run6,220210_F1_run6.pkl,5,599,4.0,604.0,-5.0,5.0,0.0182828282828282,0.0093939393939393,0.0088888888888888,93.0,88.0,5.0,0.5138121546961326,0.4861878453038674,0.0005050505050505
220210_F1_run6,220210_F1_run6.pkl,6,627,5.0,599.0,28.0,-28.0,0.0028282828282828,0.0,0.0028282828282828,0.0,28.0,-28.0,0.0,1.0,-0.0028282828282828
220210_F1_run6,220210_F1_run6.pkl,7,639,6.0,627.0,12.0,-12.0,0.0068686868686868,0.0028282828282828,0.004040404040404,28.0,40.0,-12.0,0.4117647058823529,0.5882352941176471,-0.0012121212121212
220210_F2_run5,220210_F2_run5.pkl,1,1401,,,,,,,,,,,,,
220210_F2_run5,220210_F2_run5.pkl,2,1287,1.0,1401.0,-114.0,114.0,0.024538063562453808,0.014375461936437546,0.01016260162601626,389.0,275.0,114.0,0.5858433734939759,0.4141566265060241,0.0042128603104212865
220210_F2_run5,220210_F2_run5.pkl,3,1296,2.0,1287.0,9.0,-9.0,0.019623059866962306,0.009645232815964523,0.009977827050997782,261.0,270.0,-9.0,0.4915254237288136,0.5084745762711864,-0.00033259423503325877
220210_F2_run5,220210_F2_run5.pkl,4,1363,3.0,1296.0,67.0,-67.0,0.019327420546932744,0.008425720620842573,0.01090169992609017,228.0,295.0,-67.0,0.4359464627151052,0.5640535372848948,-0.0024759793052475977
220210_F2_run5,220210_F2_run5.pkl,5,1370,4.0,1363.0,7.0,-7.0,0.01917960088691796,0.009460458240946046,0.009719142645971915,256.0,263.0,-7.0,0.4932562620423892,0.5067437379576109,-0.0002586844050258691
220210_F2_run5,220210_F2_run5.pkl,6,1398,5.0,1370.0,28.0,-28.0,0.0010347376201034738,0.0,0.0010347376201034738,0.0,28.0,-28.0,0.0,1.0,-0.0010347376201034738
220210_F2_run5,220210_F2_run5.pkl,7,1410,6.0,1398.0,12.0,-12.0,0.0025129342202512934,0.0010347376201034738,0.0014781966001478197,28.0,40.0,-12.0,0.4117647058823529,0.5882352941176471,-0.0004434589800443459
