dataset,file,P,edge_count,previous_P,previous_edge_count,edge_delta,net_edge_loss_count,D_p,D_minus,D_plus,edge_deletions,edge_additions,net_deletion_count,deletion_share_of_changes,addition_share_of_changes,net_deletion_fraction_possible
220119_F2_run11,220119_F2_run11.pkl,1,541,,,,,,,,,,,,,
220119_F2_run11,220119_F2_run11.pkl,2,395,1.0,541.0,-146.0,146.0,0.0268686868686868,0.0208080808080808,0.006060606060606,206.0,60.0,146.0,0.7744360902255639,0.2255639097744361,0.0147474747474747
220119_F2_run11,220119_F2_run11.pkl,3,373,2.0,395.0,-22.0,22.0,0.0175757575757575,0.0098989898989898,0.0076767676767676,98.0,76.0,22.0,0.5632183908045977,0.4367816091954023,0.0022222222222222
220119_F2_run11,220119_F2_run11.pkl,4,363,3.0,373.0,-10.0,10.0,0.0165656565656565,0.0087878787878787,0.0077777777777777,87.0,77.0,10.0,0.5304878048780488,0.4695121951219512,0.001010101010101
220119_F2_run11,220119_F2_run11.pkl,5,403,4.0,363.0,40.0,-40.0,0.0185858585858585,0.0072727272727272,0.0113131313131313,72.0,112.0,-40.0,0.3913043478260869,0.608695652173913,-0.004040404040404
220119_F2_run11,220119_F2_run11.pkl,6,402,5.0,403.0,-1.0,1.0,0.017070707070707,0.0085858585858585,0.0084848484848484,85.0,84.0,1.0,0.5029585798816568,0.4970414201183433,0.00010101010101
220119_F2_run11,220119_F2_run11.pkl,7,406,6.0,402.0,4.0,-4.0,0.0171717171717171,0.0083838383838383,0.0087878787878787,83.0,87.0,-4.0,0.4882352941176471,0.5117647058823529,-0.0004040404040404
220127_F4_run2,220127_F4_run2.pkl,1,608,,,,,,,,,,,,,
220127_F4_run2,220127_F4_run2.pkl,2,522,1.0,608.0,-86.0,86.0,0.0298614429049211,0.020066889632107,0.0097945532728141,168.0,82.0,86.0,0.672,0.328,0.0102723363592928
220127_F4_run2,220127_F4_run2.pkl,3,509,2.0,522.0,-13.0,13.0,0.0187529861442904,0.0101528905876731,0.0086000955566172,85.0,72.0,13.0,0.5414012738853503,0.4585987261146497,0.0015527950310559
220127_F4_run2,220127_F4_run2.pkl,4,510,3.0,509.0,1.0,-1.0,0.0161251791686574,0.0080028666985188,0.0081223124701385,67.0,68.0,-1.0,0.4962962962962963,0.5037037037037038,-0.0001194457716196
220127_F4_run2,220127_F4_run2.pkl,5,508,4.0,510.0,-2.0,2.0,0.0172001911132345,0.0087195413282369,0.0084806497849976,73.0,71.0,2.0,0.5069444444444444,0.4930555555555556,0.0002388915432393
220127_F4_run2,220127_F4_run2.pkl,6,522,5.0,508.0,14.0,-14.0,0.0176779741997133,0.0080028666985188,0.0096751075011944,67.0,81.0,-14.0,0.4527027027027026,0.5472972972972973,-0.0016722408026755
220127_F4_run2,220127_F4_run2.pkl,7,545,6.0,522.0,23.0,-23.0,0.0180363115145723,0.0076445293836598,0.0103917821309125,64.0,87.0,-23.0,0.423841059602649,0.576158940397351,-0.0027472527472527
220210_F1_run6,220210_F1_run6.pkl,1,871,,,,,,,,,,,,,
220210_F1_run6,220210_F1_run6.pkl,2,639,1.0,871.0,-232.0,232.0,0.0424242424242424,0.0329292929292929,0.0094949494949494,326.0,94.0,232.0,0.7761904761904761,0.2238095238095238,0.0234343434343434
220210_F1_run6,220210_F1_run6.pkl,3,619,2.0,639.0,-20.0,20.0,0.0214141414141414,0.0117171717171717,0.0096969696969696,116.0,96.0,20.0,0.5471698113207548,0.4528301886792453,0.002020202020202
220210_F1_run6,220210_F1_run6.pkl,4,621,3.0,619.0,2.0,-2.0,0.02,0.0098989898989898,0.0101010101010101,98.0,100.0,-2.0,0.4949494949494949,0.5050505050505051,-0.0002020202020202
220210_F1_run6,220210_F1_run6.pkl,5,642,4.0,621.0,21.0,-21.0,0.019090909090909,0.0084848484848484,0.0106060606060606,84.0,105.0,-21.0,0.4444444444444445,0.5555555555555556,-0.0021212121212121
220210_F1_run6,220210_F1_run6.pkl,6,641,5.0,642.0,-1.0,1.0,0.0203030303030303,0.0102020202020202,0.0101010101010101,101.0,100.0,1.0,0.5024875621890548,0.4975124378109453,0.00010101010101
220210_F1_run6,220210_F1_run6.pkl,7,650,6.0,641.0,9.0,-9.0,0.0215151515151515,0.0103030303030303,0.0112121212121212,102.0,111.0,-9.0,0.4788732394366197,0.5211267605633803,-0.0009090909090909
220210_F2_run5,220210_F2_run5.pkl,1,1493,,,,,,,,,,,,,
220210_F2_run5,220210_F2_run5.pkl,2,1306,1.0,1493.0,-187.0,187.0,0.027161862527716185,0.017036215816703622,0.010125646711012565,461.0,274.0,187.0,0.6272108843537415,0.37278911564625855,0.006910569105691057
220210_F2_run5,220210_F2_run5.pkl,3,1312,2.0,1306.0,6.0,-6.0,0.019216555801921657,0.00949741315594974,0.009719142645971915,257.0,263.0,-6.0,0.49423076923076914,0.5057692307692307,-0.00022172949002217425
220210_F2_run5,220210_F2_run5.pkl,4,1375,3.0,1312.0,63.0,-63.0,0.01925351071692535,0.008462675535846268,0.010790835181079084,229.0,292.0,-63.0,0.4395393474088292,0.5604606525911708,-0.0023281596452328166
220210_F2_run5,220210_F2_run5.pkl,5,1411,4.0,1375.0,36.0,-36.0,0.02165558019216556,0.01016260162601626,0.011492978566149298,275.0,311.0,-36.0,0.46928327645051193,0.5307167235494881,-0.0013303769401330386
220210_F2_run5,220210_F2_run5.pkl,6,1521,5.0,1411.0,110.0,-110.0,0.023651145602365115,0.009793052475979305,0.01385809312638581,265.0,375.0,-110.0,0.4140625,0.5859375,-0.004065040650406505
220210_F2_run5,220210_F2_run5.pkl,7,1651,6.0,1521.0,130.0,-130.0,0.02535107169253511,0.010273466371027346,0.01507760532150776,278.0,408.0,-130.0,0.4052478134110787,0.5947521865889213,-0.004804138950480414
