first_appearance_p,first_deletion_p,instability_frequency,method,n_additions,n_deletions,n_depths_present,null_frequency,p_value,q_value,recording,source,status,target
1,6.0,0.3333333333333333,c-GC,1,1,6,,,,220119_F2_run11,0,unstable,1
6,7.0,0.3333333333333333,c-GC,1,1,1,,,,220119_F2_run11,0,unstable,27
1,5.0,0.16666666666666666,c-GC,0,1,4,,,,220119_F2_run11,0,lost,49
1,,0.0,c-GC,0,0,7,,,,220119_F2_run11,1,stable,3
1,2.0,0.16666666666666666,c-GC,0,1,1,,,,220119_F2_run11,1,unstable,7
1,,0.0,c-GC,0,0,7,,,,220119_F2_run11,1,stable,11
3,,0.16666666666666666,c-GC,1,0,5,,,,220119_F2_run11,1,unstable,13
3,5.0,0.6666666666666666,c-GC,2,2,3,,,,220119_F2_run11,1,unstable,14
1,7.0,0.16666666666666666,c-GC,0,1,6,,,,220119_F2_run11,1,lost,18
1,,0.0,c-GC,0,0,7,,,,220119_F2_run11,1,stable,20
1,2.0,0.3333333333333333,c-GC,1,1,5,,,,220119_F2_run11,1,unstable,50
1,,0.0,c-GC,0,0,7,,,,220119_F2_run11,1,stable,57
1,,0.0,c-GC,0,0,7,,,,220119_F2_run11,1,stable,69
1,,0.0,c-GC,0,0,7,,,,220119_F2_run11,1,stable,71
1,,0.0,c-GC,0,0,7,,,,220119_F2_run11,1,stable,98
1,3.0,0.3333333333333333,c-GC,1,1,3,,,,220119_F2_run11,2,unstable,9
1,2.0,0.5,c-GC,1,2,2,,,,220119_F2_run11,2,unstable,28
1,2.0,0.16666666666666666,c-GC,0,1,1,,,,220119_F2_run11,2,unstable,30
1,3.0,0.16666666666666666,c-GC,0,1,2,,,,220119_F2_run11,2,lost,76
1,2.0,0.16666666666666666,c-GC,0,1,1,,,,220119_F2_run11,2,unstable,79
1,,0.0,c-GC,0,0,7,,,,220119_F2_run11,3,stable,0
1,,0.0,c-GC,0,0,7,,,,220119_F2_run11,3,stable,1
1,2.0,0.3333333333333333,c-GC,1,1,5,,,,220119_F2_run11,3,unstable,7
1,,0.0,c-GC,0,0,7,,,,220119_F2_run11,3,stable,11
1,7.0,0.16666666666666666,c-GC,0,1,6,,,,220119_F2_run11,3,lost,12
7,,0.16666666666666666,c-GC,1,0,1,,,,220119_F2_run11,3,novel,13
5,7.0,0.3333333333333333,c-GC,1,1,2,,,,220119_F2_run11,3,unstable,14
1,2.0,0.3333333333333333,c-GC,1,1,4,,,,220119_F2_run11,3,unstable,18
1,,0.0,c-GC,0,0,7,,,,220119_F2_run11,3,stable,20
1,4.0,0.16666666666666666,c-GC,0,1,3,,,,220119_F2_run11,3,lost,37
1,,0.0,c-GC,0,0,7,,,,220119_F2_run11,3,stable,69
2,5.0,0.3333333333333333,c-GC,1,1,3,,,,220119_F2_run11,3,unstable,71
1,3.0,0.5,c-GC,1,2,4,,,,220119_F2_run11,4,unstable,8
1,5.0,0.3333333333333333,c-GC,1,1,6,,,,220119_F2_run11,4,unstable,12
1,2.0,0.16666666666666666,c-GC,0,1,1,,,,220119_F2_run11,4,unstable,15
1,6.0,0.16666666666666666,c-GC,0,1,5,,,,220119_F2_run11,4,lost,29
1,2.0,0.3333333333333333,c-GC,1,1,2,,,,220119_F2_run11,4,unstable,43
3,5.0,0.5,c-GC,2,1,4,,,,220119_F2_run11,4,unstable,59
1,3.0,0.16666666666666666,c-GC,0,1,2,,,,220119_F2_run11,4,lost,62
