recording,method,source,target,n_depths_present,n_deletions,n_additions,first_appearance_p,first_deletion_p,instability_frequency,null_frequency,p_value,q_value,status
220119_F2_run11,c-GC,0,1,6,1,1,1,6.0,0.3333333333333333,,,,unstable
220119_F2_run11,c-GC,0,27,1,1,1,6,7.0,0.3333333333333333,,,,unstable
220119_F2_run11,c-GC,0,49,4,1,0,1,5.0,0.16666666666666666,,,,lost
220119_F2_run11,c-GC,1,3,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,1,7,1,1,0,1,2.0,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,1,11,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,1,13,5,0,1,3,,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,1,14,3,2,2,3,5.0,0.6666666666666666,,,,unstable
220119_F2_run11,c-GC,1,18,6,1,0,1,7.0,0.16666666666666666,,,,lost
220119_F2_run11,c-GC,1,20,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,1,50,5,1,1,1,2.0,0.3333333333333333,,,,unstable
220119_F2_run11,c-GC,1,57,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,1,69,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,1,71,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,1,98,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,2,9,3,1,1,1,3.0,0.3333333333333333,,,,unstable
220119_F2_run11,c-GC,2,28,2,2,1,1,2.0,0.5,,,,unstable
220119_F2_run11,c-GC,2,30,1,1,0,1,2.0,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,2,76,2,1,0,1,3.0,0.16666666666666666,,,,lost
220119_F2_run11,c-GC,2,79,1,1,0,1,2.0,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,3,0,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,3,1,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,3,7,5,1,1,1,2.0,0.3333333333333333,,,,unstable
220119_F2_run11,c-GC,3,11,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,3,12,6,1,0,1,7.0,0.16666666666666666,,,,lost
220119_F2_run11,c-GC,3,13,1,0,1,7,,0.16666666666666666,,,,novel
220119_F2_run11,c-GC,3,14,2,1,1,5,7.0,0.3333333333333333,,,,unstable
220119_F2_run11,c-GC,3,18,4,1,1,1,2.0,0.3333333333333333,,,,unstable
220119_F2_run11,c-GC,3,20,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,3,37,3,1,0,1,4.0,0.16666666666666666,,,,lost
220119_F2_run11,c-GC,3,69,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,3,71,3,1,1,2,5.0,0.3333333333333333,,,,unstable
220119_F2_run11,c-GC,4,8,4,2,1,1,3.0,0.5,,,,unstable
220119_F2_run11,c-GC,4,12,6,1,1,1,5.0,0.3333333333333333,,,,unstable
220119_F2_run11,c-GC,4,15,1,1,0,1,2.0,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,4,29,5,1,0,1,6.0,0.16666666666666666,,,,lost
220119_F2_run11,c-GC,4,43,2,1,1,1,2.0,0.3333333333333333,,,,unstable
220119_F2_run11,c-GC,4,59,4,1,2,3,5.0,0.5,,,,unstable
220119_F2_run11,c-GC,4,62,2,1,0,1,3.0,0.16666666666666666,,,,lost
220119_F2_run11,c-GC,4,98,1,1,1,2,3.0,0.3333333333333333,,,,unstable
220119_F2_run11,c-GC,5,20,2,2,1,1,2.0,0.5,,,,unstable
220119_F2_run11,c-GC,5,33,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,5,41,2,1,2,5,6.0,0.5,,,,unstable
220119_F2_run11,c-GC,5,62,4,2,2,2,4.0,0.6666666666666666,,,,unstable
220119_F2_run11,c-GC,5,78,2,2,1,1,2.0,0.5,,,,unstable
220119_F2_run11,c-GC,6,27,2,1,0,1,3.0,0.16666666666666666,,,,lost
220119_F2_run11,c-GC,7,1,6,1,1,1,5.0,0.3333333333333333,,,,unstable
220119_F2_run11,c-GC,7,11,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,7,26,1,1,0,1,2.0,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,7,29,6,1,1,1,6.0,0.3333333333333333,,,,unstable
220119_F2_run11,c-GC,8,4,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,8,11,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,8,34,1,1,1,4,5.0,0.3333333333333333,,,,unstable
220119_F2_run11,c-GC,8,63,1,1,0,1,2.0,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,8,72,2,2,1,1,2.0,0.5,,,,unstable
220119_F2_run11,c-GC,8,79,1,1,0,1,2.0,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,9,2,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,9,16,3,0,1,5,,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,9,21,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,9,28,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,9,30,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,9,42,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,9,53,1,1,0,1,2.0,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,9,57,1,0,1,7,,0.16666666666666666,,,,novel
220119_F2_run11,c-GC,9,59,6,0,1,2,,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,9,66,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,9,74,6,1,1,1,3.0,0.3333333333333333,,,,unstable
220119_F2_run11,c-GC,9,76,5,1,1,1,3.0,0.3333333333333333,,,,unstable
220119_F2_run11,c-GC,9,80,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,9,81,1,1,0,1,2.0,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,10,72,1,1,0,1,2.0,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,10,96,1,1,0,1,2.0,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,11,1,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,11,3,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,11,4,5,2,1,1,3.0,0.5,,,,unstable
220119_F2_run11,c-GC,11,7,1,1,0,1,2.0,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,11,12,2,1,0,1,3.0,0.16666666666666666,,,,lost
220119_F2_run11,c-GC,11,13,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,11,15,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,11,18,6,1,1,1,4.0,0.3333333333333333,,,,unstable
220119_F2_run11,c-GC,11,19,6,0,1,2,,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,11,20,6,1,0,1,7.0,0.16666666666666666,,,,lost
220119_F2_run11,c-GC,11,26,5,1,0,1,6.0,0.16666666666666666,,,,lost
220119_F2_run11,c-GC,11,29,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,11,73,2,1,0,1,3.0,0.16666666666666666,,,,lost
220119_F2_run11,c-GC,11,79,1,1,1,2,3.0,0.3333333333333333,,,,unstable
220119_F2_run11,c-GC,11,96,1,0,1,7,,0.16666666666666666,,,,novel
220119_F2_run11,c-GC,12,1,1,1,0,1,2.0,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,12,4,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,12,8,1,1,0,1,2.0,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,12,18,2,1,2,4,5.0,0.5,,,,unstable
220119_F2_run11,c-GC,12,29,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,12,31,2,0,1,6,,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,12,33,4,1,2,3,4.0,0.5,,,,unstable
220119_F2_run11,c-GC,12,36,1,1,1,6,7.0,0.3333333333333333,,,,unstable
220119_F2_run11,c-GC,12,40,1,1,0,1,2.0,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,12,41,1,1,0,1,2.0,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,12,43,3,1,1,1,2.0,0.3333333333333333,,,,unstable
220119_F2_run11,c-GC,12,44,5,0,1,3,,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,12,56,1,1,1,6,7.0,0.3333333333333333,,,,unstable
220119_F2_run11,c-GC,12,59,1,1,0,1,2.0,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,13,0,1,1,0,1,2.0,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,13,1,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,13,3,6,1,1,1,5.0,0.3333333333333333,,,,unstable
220119_F2_run11,c-GC,13,7,1,1,0,1,2.0,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,13,11,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,13,15,6,1,0,1,7.0,0.16666666666666666,,,,lost
220119_F2_run11,c-GC,13,17,3,2,1,1,3.0,0.5,,,,unstable
220119_F2_run11,c-GC,13,18,6,1,1,1,2.0,0.3333333333333333,,,,unstable
220119_F2_run11,c-GC,13,19,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,13,20,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,13,23,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,13,24,2,1,0,1,3.0,0.16666666666666666,,,,lost
220119_F2_run11,c-GC,13,26,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,13,34,1,1,0,1,2.0,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,13,40,4,1,1,1,3.0,0.3333333333333333,,,,unstable
220119_F2_run11,c-GC,13,51,1,1,0,1,2.0,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,13,57,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,13,62,1,1,0,1,2.0,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,13,71,1,1,0,1,2.0,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,13,75,1,1,0,1,2.0,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,13,76,1,1,1,5,6.0,0.3333333333333333,,,,unstable
220119_F2_run11,c-GC,13,88,1,1,0,1,2.0,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,13,89,3,1,1,2,5.0,0.3333333333333333,,,,unstable
220119_F2_run11,c-GC,13,90,1,1,0,1,2.0,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,13,98,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,14,16,1,1,0,1,2.0,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,14,69,1,1,0,1,2.0,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,15,12,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,15,64,1,1,0,1,2.0,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,16,10,4,1,0,1,5.0,0.16666666666666666,,,,lost
220119_F2_run11,c-GC,16,14,1,1,0,1,2.0,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,16,30,3,0,1,5,,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,16,52,1,1,0,1,2.0,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,16,58,1,1,0,1,2.0,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,16,78,1,1,1,4,5.0,0.3333333333333333,,,,unstable
220119_F2_run11,c-GC,17,9,3,2,1,1,3.0,0.5,,,,unstable
220119_F2_run11,c-GC,17,13,1,1,0,1,2.0,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,17,22,4,2,1,1,4.0,0.5,,,,unstable
220119_F2_run11,c-GC,17,41,2,0,1,6,,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,17,52,1,1,0,1,2.0,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,17,81,6,1,1,1,6.0,0.3333333333333333,,,,unstable
220119_F2_run11,c-GC,17,82,3,1,2,2,3.0,0.5,,,,unstable
220119_F2_run11,c-GC,18,1,1,1,0,1,2.0,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,18,7,1,1,0,1,2.0,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,18,11,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,18,14,1,1,0,1,2.0,0.16666666666666666,,,,unstable
220119_F2_run11,c-GC,18,20,4,2,2,1,3.0,0.6666666666666666,,,,unstable
220119_F2_run11,c-GC,18,26,7,0,0,1,,0.0,,,,stable
220119_F2_run11,c-GC,18,29,2,1,0,1,3.0,0.16666666666666666,,,,lost
220119_F2_run11,c-GC,18,34,1,1,0,1,2.0,0.16666666666666666,,,,unstable
